"Picture Count","MLS #","Class","Property Type","County","Price","Address","City","State","Zip","Status","# of 1/2 Baths","# of 3/4 Baths","# of Full Baths","1031 Exchange (Y/N)","Asking Price","Basement","Below Grade SQFT","Closing Date","Comments / Concessions","Contract Date","Cumulative DOM","Days On Market","Days On MLS","Days Under Contract","Distressed Property","Finished SQFT","Garage Capacity","Garage Dimensions","Geocode Quality","HUD","IMAPP Address","Latitude","Longitude","Lot Sq Ft","Lot Dimensions","Make/Model","Neighborhood","Number of Acres","Price Per Sqft","Price Date","Public Remarks","Sale Includes","School District","Serial #/VIN","Sold Price","Sold Price Per SQFT","Subdivision","Tax ID","Tax Parcel #","Tax Year","Total Baths","Total SQFT","Year Built","Zoning Type","Bedrooms","How Sold","New Construction (Y/N)","New","Occupant","Original Price","Sale/Rent","Status Date","Ever Occupied","Builder Name"
"6","277174","Residential-Single Family","Site Built-Owned Lot","Yakima","$165,000","208 E 4th St","Grandview","WA","98930","Sold","0","0","1",,"$234,750","Yes","300","9/23/2024",,"9/5/2024","65","65","65",,,"1,088","None",,,"No",,,,,,,,"0.1000","$151.65","9/24/2024","MLS# 277174 Great Opportunity. There are a few things that need buttoning up but the home has three bedrooms, one bathroom, gas forced air furnace, and plenty of space. The back yard has black berries, grapes, and a plethera of flowers. Asking $245,000.",,"Grandview",,"$165,000","$151.65","GRANDVIEW",,"23092314443","2024","1","1,088","1945","Residential","3","Cash","No","Existing Construction (Not New)","Vacant","$245,000","For Sale","9/24/2024","Yes",
"4","281705","Residential-Single Family","Site Built-Owned Lot","Yakima","$210,000","409 Elm St","Grandview","WA","98930","Sold","0","0","2","No","$220,000","Yes","924","2/28/2025",,"2/13/2025","2","2","2",,,"2,165","None",,,"No",,"46.251777050842264","-119.894213550926",,,,,"0.1800","$97.00","2/28/2025","MLS# 281705 Investment opportunity! Property being sold in current condition for a discount. 4 bedroom, 2 bath home with an open floor plan and large lot. Unique investment opportunity for cash buyer or rehab loan buyer.",,,,"$210,000","$97.00","OTHER",,"23092423490","2025","2","2,165","1940","Residential","4","Cash","No","Existing Construction (Not New)","Vacant","$220,000","For Sale","2/28/2025","Yes",
"17","282038","Residential-Single Family","Site Built-Owned Lot","Yakima","$298,000","208 E 4th","Grandview","WA","98930","Active","0","0","1",,"$298,000","Yes","1,088",,,,"19","19","19",,,"1,088","None",,,"No",,,,,,,,"0.1000","$273.90","2/28/2025","MLS# 282038 Ooh la la- Cute Sweedish style kitchen with red cabinets, butcher block counters, deep stainless steel sink, new stove. This home has been updated with new laminate flooring with smooth transition from room to room. New floor trims. Fresh paint throughout. The bathroom has a new steel bathtub with FlexStone Surround.  The house has all new plumbing and fixtures throughout. The electrical panel box and lights have been replaced and upgraded with recessed LED lights. There is a 2 car cement slab for off street parking. The back yard is fenced and gated with very low maintanence flowering shrubs.",,"Grandview",,,,"GRANDVIEW",,"23092314443","2025","1","1,088","1972","Mixed Use","3",,"No","Existing Construction (Not New)","Owner","$298,000","For Sale","2/28/2025","Yes",
"30","278054","Residential-Single Family","Site Built-Owned Lot","Yakima","$320,000","502 Klock Rd","Grandview","WA","98930","Sold","0","0","2",,"$320,000","Yes","750","10/16/2024",,"9/3/2024","27","27","27",,,"1,860","Two",,,"No",,,,,,,,"0.9200","$172.04","8/7/2024","MLS# 278054 Multi-generation opportunity on a huge city lot (.92 acres) that one could build another duplex or tri-plex? Currently the main level is vacant. It has 1,110 square feet; 2 bedrooms, 1 bath, kitchen, utility, dining with a gas stove and gas fireplace. The lower level has 750 square feet; 1 bedroom, 1 bath, utility, kitchen, living room, private patio.  The roof and hot water heater are new 2024.  There is a back pasture area with alley access from Klock Rd. Oodles of opportunity. Call your Realtor today to view and purchase. The lower unit needs a 48 hour notice to show, the remainder property can be seen anytime.",,"Grandview",,"$320,000","$172.04","GRANDVIEW",,"23092334421","2024","2","1,860","1950","Residential","3","Conventional","No","Existing Construction (Not New)","Tenant","$320,000","For Sale","10/16/2024","Yes",
"14","278448","Residential-Single Family","Site Built-Owned Lot","Yakima","$339,000","512 Stassen Way","Grandview","WA","98930","Sold","1","1","2","No","$339,000","Yes","684","10/4/2024",,"9/2/2024","10","10","10",,,"1,890","Two",,,"No",,,,,,,,"0.3800","$131.70","8/23/2024","MLS# 278448 1st Time on the Market! Lots of Room! Very Large with 6 Bedrooms and 4 Bathroom! Has Landscaped Yard Too!",,"Grandview",,"$339,000","$131.70","OTHER",,"23092332470","2024","4","2,574","1945","Residential","6","FHA","No","Existing Construction (Not New)","Vacant","$339,000","For Sale","10/7/2024","Yes",
"28","282383","Residential-Single Family","Site Built-Owned Lot","Yakima","$350,000","1710 W King St","Grandview","WA","98930","Active","0","1","2",,"$350,000","Yes","1,472",,,,"5","5","5",,,"2,944","One",,,"No",,,,"90,169",,,,"0.4000","$118.89","3/14/2025","MLS# 268277 Amazing home situated in a private setting surrounded by orchards. The patio, trees, and landscaping provide a peaceful park like setting. Kitchen has been updated. Master bedroom with private master bath and additional bathroom upstairs. Two bedrooms are located in the basement and have their own bathroom. Basement has it's own kitchenette and private entrance. Sale is subject to perfecting of short plat.","Home/Land",,,,,"OTHER",,"23092231528","2025","3","2,944","1958","SINGLE FAMILY R","4",,"No","Existing Construction (Not New)","Owner","$350,000","For Sale","3/14/2025","Yes",
"31","277238","Residential-Single Family","Site Built-Owned Lot","Yakima","$350,000","406 E 4th ave","Grandview","WA","98930","Sold","0","0","1",,"$350,000","Yes","729","8/14/2024",,"7/11/2024","6","6","6",,,"1,712","None",,,"No",,,,"8,782",,,,"0.2000","$143.38","7/5/2024","MLS# 277238 Charming 1915 Colonial House for Sale!Step into the charm of yesteryear with this beautifully maintained and updated 1915 colonial home, boasting 1,712 square feet of finished living space. With original charm and architectural details intact, this home is a true gem. The main floor features a spacious master bedroom, perfect for those seeking convenience and comfort. Two additional bedrooms and a full bathroom complete the interior. The unfinished basement offers a vast 729 square feet of potential, awaiting your creative touch to transform it into an in-law suite, extra bathroom, or personalized retreat. Set on a generous 8,782 square foot lot, this property offers ample outdoor space for relaxation, entertainment, or gardening pursuits. Enjoy the private backyard, perfect for outdoor dining, gardening, or simply relaxing in the shade. Nestled in the picturesque low Valle's of Washington state, this property is close to stunning views and vineyards, offering a serene and tranquil living experience. Ideal for those seeking a peaceful getaway or a lucrative Airbnb opportunity, this charming colonial house is a rare find. Don't miss this chance to own a piece of history, filled with character and possibilities!",,,,"$350,000","$143.38","PROSSER",,"23092314438","2024","1","2,441","1915","Residential","3","FHA","No","Existing Construction (Not New)","vacant","$350,000","For Sale","8/15/2024","Yes",
"40","275888","Residential-Single Family","Site Built-Owned Lot","Yakima","$361,000","3611 Hornby Road","Grandview","WA","98930","Sold","1","0","1",,"$379,900","Yes","0","1/31/2025",,"10/19/2024","157","157","157",,"Not Applicable","1,690","Two",,,"No",,,,,,,"Other","9.9800","$213.61","1/31/2025","MLS# 275888 Nestled in Grandview, this picturesque Country Farmhouse sits on almost 10 acres of prime land offering tranquil pastoral and mountain views. The 2-story farmhouse includes 1690 sq ft of living space with 3 bedrooms and 1.5 bathrooms. While this charming home is awaiting your vision and personal touches, it presents an incredible opportunity for you to bring your creative vision to life, drawing inspiration from the likes of Chip and Joanna Gaines. The main living area is highlighted by a cozy wood-burning fireplace, perfect for keeping warm during chilly nights. The cute kitchen presents plenty of potential, providing a canvas for you to create the perfect space for the cook, while the formal dining area offers a great space for hosting dinner parties and special occasions. The bonus room can be used for an office/Den or family room. The utility/laundry space, with its own exterior access, adds to the functionality of the home, while a cellar provides extra storage space. A detached 2-car garage, as well as additional off-street parking, is available to accommodate your vehicles and farm equipment. The land boasts partial fencing, a garden area, irrigation, and large shade trees surrounding the home, making it perfect for outdoor enthusiasts. Bring your animals, as there's ample room to build a barn and create the ideal country oasis. This property offers the elusive combination of privacy, tranquility, and space, all while being conveniently located close to all Grandview has to offer. With its potential and incredible location, this Country Farmhouse is the perfect canvas for creating your dream home. *Seller to retain hop crop for 2024. *Subject to an irrigation/ access and utility easement prior to close.",,"Buyer to Verify",,"$361,000","$213.61","NONE/NA",,"23092832002","2024","2","1,690","1960","Agriculture","3","Conventional","No","Existing Construction (Not New)","vacant","$414,900","For Sale","1/31/2025","Yes",
"39","278132","Residential-Single Family","Site Built-Owned Lot","Yakima","$385,000","704 W Concord","Grandview","WA","98930","Sold","1","1","1","No","$415,000","Yes","1,142","12/20/2024",,"10/25/2024","77","77","77",,,"2,788","None",,,"No",,,,,,,,"0.1800","$138.09","12/20/2024","MLS# 278132 Seller offering $10k towards buyer's closing costs!!!Looking for a move-in-ready home that accommodates multi-generational living? This beautifully built brick home offers two spacious living areas, ideal for a variety of lifestyles. The main level features three sizable bedrooms, and a full bathroom. The large laundry room adds convenience to daily living and is complemented by a half bath for added practicality. Downstairs, the fully finished basement provides incredible potential for multi-generational living. This level includes two additional bedrooms, a full bathroom, and a kitchenette with a breakfast bar, making it an ideal space for in-laws, guests, or even a rental opportunity. The private entrance and large room with a walk-in closet further enhance its appeal. Outside, enjoy the spacious and private backyard. Donâ€™t miss the chance to make this property your own!",,"Grandview",,"$385,000","$138.09","BETTER HOMES",,"23092241457","2024","3","2,788","1960","Residential","5","FHA","No","Existing Construction (Not New)","Owner","$420,000","For Sale","12/20/2024","Yes",
"32","279149","Residential-Single Family","Site Built-Owned Lot","Yakima","$394,000","2640 Wilson Highway","Grandview","WA","98930","Pending Inspect/Feasib","0","0","1",,"$394,000","Yes","125","3/21/2025",,"2/13/2025","142","142","142",,"Not Applicable","1,075","Two",,,"No",,,,,,,"Other","8.9100","$328.33","11/27/2024","MLS# 279149 Nestled on 8.91 picturesque acres with breathtaking views of the valley and mountains, this updated rambler with basement offers a tranquil retreat in Grandview. Boasting 1200 sq ft, this charming home features 3 bedrooms and 1 bathroom. Upon entering, laminate wood flooring extends seamlessly throughout the living area, dining space, and kitchen, creating a warm and inviting atmosphere. A cozy wood burning stove and an abundance of natural light enhance the comfort of the living area. The adjacent dining area provides a convenient setting for meals and gatherings. The kitchen, with its efficient layout and wood cabinetry, offers a pleasant space for culinary endeavors, complemented by a window framing serene views of the property. The spacious primary bedroom features dual closets, providing ample storage for personal belongings. Step outside to explore the expansive 9.24 acres of farmland, thoughtfully planted to embrace the natural beauty of the surroundings. An attached 2-car garage/shop caters to vehicle storage, DIY projects, and additional storage needs, while off-street parking is available for RVs and farm equipment. A covered porch provides a delightful spot to unwind and savor the stunning vistas. This property is zoned for agriculture and boasts canal frontage, offering a unique opportunity for a variety of potential uses. Embrace the tranquility and possibilities of this beautiful property in Grandview.","Home and Land","Buyer to Verify",,,,"NONE/NA",,"23090231002","2024","1","1,200","1970","Agriculture","3",,"No","Existing Construction (Not New)","vacant","$399,900","For Sale","2/13/2025","Yes",
"19","281206","Residential-Single Family","Site Built-Owned Lot","Yakima","$435,000","2000 S County Line Road","Grandview","WA","99350","Pending Inspect/Feasib","0","1","1",,"$435,000","Yes","140","3/25/2025",,"2/16/2025","31","31","31",,,"1,603","Two",,,"No",,,,,,,,"1.8500","$248.86","2/13/2025","MLS# 281206 Discover peaceful country living with this charming 3 bed, 2 bath home situated on 1.85 acres of serene land. Ideal for those who enjoy wide open spaces, this property offers plenty of room for pets, livestock, gardening, and outdoor activities.Step into the spacious living room, where natural light pours in, or enjoy the inviting dining area located just off the covered patio!  Both offering a warm and welcoming ambiance that flows throughout the home. The cellar is perfect for providing additional storage, and the kitchen is fully equipped with everything a home chef could want.  Outside, the expansive yard is perfect for animals to roam or for creating your own outdoor haven. The property also includes a 20x30 shop ideal for housing vehicles, equipment, your boat, or tools.Located in a quiet country setting, this home provides both privacy and convenience, with nearby amenities just a short drive away. If you're looking for a peaceful retreat with room to grow, this property is a must-see. Schedule your showing today!",,,,,,"OTHER",,"23093644004","2024","2","1,748","1962","Residential Agriculture","3",,"No","Existing Construction (Not New)","owners","$450,000","For Sale","2/16/2025","Yes",
"35","281168","Residential-Single Family","Site Built-Owned Lot","Yakima","$449,900","905 Cherry Lane","Grandview","WA","98930","Active","0","1","1",,"$449,900","Yes","1,428",,,,"63","63","63",,"Not Applicable","2,499","Six+",,,"No",,,,,,,"Other","1.1200","$157.53","1/15/2025","MLS# 281168 Welcome to this spacious Grandview home situated on a generous 1.12 acre lot, featuring both a huge shop and an attached garage. The property features R3 Zoning, offering the exciting potential for division and further development. Spanning 2856 sq ft in a rambler with basement floor plan, this residence offers ample space for comfortable living. Large windows adorn the living room, inviting natural light and highlighting the cozy fireplace, perfect for enjoying the winter season. Another fireplace graces the basement family room, adding warmth and charm to the home. In addition to a formal dining room, there is a more casual eating area, providing versatile spaces for dining. The kitchen offers plenty of cabinet and counter space for meal prep. A convenient laundry area with storage cabinets adds functionality to the home. Plenty of extra storage is available in the basement and unfinished areas, allowing for customization and personal touches. Step outside to embrace the expansive 1.12 acre lot, adorned with mature landscaping, space for gardening, and abundant parking options including a large shop with an RV door, garage, and off-street parking. This home is primed for your personal updates and enhancements. Complete with a thorough home inspection and a 1-year home warranty, this Grandview home offers a wonderful opportunity to create your own oasis in a spacious and inviting setting.","Home and Land","Buyer to Verify",,,,"OTHER",,"23092243408","2024","2","2,856","1955","Residential","2",,"No","Existing Construction (Not New)","Vacant","$449,900","For Sale","1/15/2025","Yes",
"49","277933","Residential-Single Family","Site Built-Owned Lot","Yakima","$480,000","701 Walnut Lane","Grandview","WA","98930","Sold","0","0","2",,"$480,000","Yes","480","12/13/2024",,"11/2/2024","93","93","93",,,"2,110","Six+",,,"No",,,,"379,408",,,,"8.7100","$227.49","10/28/2024","MLS# 277933 Wow. This income producing opportunity is a gold mine. The Concord Grapes go to Smuckers. Huge shop on the backside of a 3 bay garage with a business office fully equiped with kitchen and restroom. ;) The house has an open concept view from the kitchen to the front room. Enjoy those Sunday football games while cooking wings in the propane oven. There is a Kinetico water filter system in the basement. The irrigation pump for the grapes is on its own electrical service. The shop, business office and main house are on another electrical service. A new well was dug in 2018; it is 160' deep. More to come! Call your Realtor to view and purchase.",,"Grandview",,"$480,000","$227.49","GRANDVIEW",,"23092134409","2024","2","2,110","1945","Agriculture","5","Conventional","No",,"Owner","$564,000","For Sale","12/13/2024","Yes",
"22","281921","Residential-Single Family","Site Built-Owned Lot","Yakima","$550,000","303 N Ave B","Grandview","WA","98930","Active","0","1","1","No","$550,000","Yes","800",,,,"26","26","26",,,"3,127","Four",,,"No",,,,,,,,"0.4200","$175.89","2/21/2025","Welcome to this beautiful custom built home with all you need and more! As you walk in you are greeted to a big living room with a fireplace and sliding glass doors, it flows into the formal dining room with french doors that lead outside to a private patio and dining room is open concept to the kitchen with breakfast bar which makes this home perfect for entertaining guests! Main level accommodates 3 generous sized bedrooms, one full bath, and one laundry/utility room with 3/4 bathroom and utility sink, next to the attached two car garage. Lower level accommodates 2 bedrooms and a multipurpose/family room with an outside entrance. Property is fully fenced and gated. Built in outdoor bbq area, lots of additional parking. The shop is the icing on the cake with additional space for vehicles and workshop. Shop also has a finished upstairs with separate entrance that could be a den, man cave, or home office. Perfect for anyone that works from home or has hobbies that outgrow your current space! Call your favorite Realtor today for a showing!",,"Grandview",,,,"NONE/NA",,"23092312518","2025","2","3,127","1961","Residential","5",,"No","Existing Construction (Not New)","Not Occupied","$550,000","For Sale","2/21/2025","Yes",
"48","276341","Residential-Single Family","Site Built-Owned Lot","Yakima","$560,000","2750 Forsell Road","Grandview","WA","98930","Sold","0","0","1",,"$559,500","Yes","136","10/25/2024",,"8/23/2024","85","85","85",,"Not Applicable","2,300","Three",,,"No",,,,,,,"Other","16.1800","$229.89","10/25/2024","MLS# 276341 Welcome to this charming country home nestled on 16.18 acres in the scenic outskirts of Grandview. With craftsmanship and recent updates, this custom-built residence offers 2436 sq ft of living space spread across two levels and a basement, featuring 3 bedrooms and 1 bathroom. The home boasts large windows and skylights throughout, allowing an abundance of natural light to fill the rooms. Vaulted and raised ceilings, along with laminate wood flooring and charming wood-work details, create an inviting and cozy atmosphere. The kitchen features white cabinetry and ample counter space to inspire your inner chef. Adjacent to the kitchen is a formal dining room, perfect for hosting special meals and gatherings. French doors lead from the spacious bonus/family room to a deck, where you can indulge in the breathtaking views of your expansive property and beyond. The home is surrounded by beautiful mature trees, flower gardens, partial fencing, and an irrigation system. Additionally, there is an attached 3-car garage with a workshop area, ensuring plenty of space for parking and storage. With ample room for RV parking and an abundance of land, this property presents an excellent opportunity to bring your animals and create the hobby farm of your dreams. Embrace the potential of this 16+ acre property by building a barn or additional outbuildings to suit your needs. Contact your favorite realtor today for a tour of this beautiful property. An additional 14+ acres of prime agriculture land borders this property and is also available to purchase! - MLS# 276357.  *Seller to retain hop crop for 2024. *Subject to an irrigation/ access and utility easement prior to close. *This listing has been cross posted with MLS# 276473 and 276357.","Home and Land","Buyer to Verify",,"$560,000","$229.89","NONE/NA",,"23092021003","2024","1","2,436","1982","Agriculture","3","Conventional","No","Existing Construction (Not New)","Vacant","$574,500","For Sale","10/25/2024","Yes",
"40","277653","Residential-Single Family","Site Built-Owned Lot","Benton","$569,900","178409 W Apricot Road","Grandview","WA","98930","Pending Inspect/Feasib","0","1","1",,"$569,900","Yes","200","3/31/2025",,"1/15/2025","176","176","176",,,"1,908","Six+",,,"No",,,,,,,"Other","20.1000","$298.69","9/16/2024","MLS# 277653 Discover a remarkable 20+ acre property in Grandview boasting two homes, ideal for rental investment opportunities or multi-generational living arrangements. Both homes have been updated and are ready to move right in. The main residence encompasses 1708 sq ft, featuring 3 bedrooms, 1 bathroom, and additional unfinished basement space. Additionally, the second home offers a charming 200 sq ft layout with 1 bedroom and 1 bath, perfect for accommodating renters or serving as a cozy guest house. For those in need of ample garage space for vehicles and recreational equipment, this property includes a spacious detached garage, along with a shop and storage building for your farming supplies. Embrace the rural lifestyle on the vast 20 acres of land, with plenty of room to build your dream barn and corrals for horses. Enjoy outdoor living with mature trees, partial fencing, and irrigation systems in place. Fulfill your dream of owning a farm with this rare opportunity at an exceptional price point. Revel in the tranquility of country living amidst picturesque pastoral views just outside Grandview, all while maintaining convenient access to town amenities. *This listing has been cross posted with MLS# 277654 and 277655","Home and Land","Buyer to Verify",,,,"NONE/NA",,"130943000001004","2024","2","1,908","1915","Agriculture","4",,"No","Existing Construction (Not New)","Vacant","$585,000","For Sale","1/16/2025","Yes",
"30","271666","Residential-Single Family","Site Built-Owned Lot","Yakima","$615,000","701 Pleasant Ave","Grandview","WA","98930","Sold","0","1","2",,"$615,000","Yes","1,524","5/3/2024",,"4/4/2024","179","179","179",,,"3,048","Three",,,"No",,,,,,,,"4.3900","$201.77","12/6/2023","MLS# 271666 Great opportunity to own 4.39 irrigated acres just outside of town, with solid set irrigation throughout both pastures. Well-built brick home with new A/C and gas furnace. Home offers hardwood floors, 5 bedrooms, 3 bathrooms, attached 3 car garage and large red barn. Large circular driveway gives plenty of parking and room for truck & trailer. If you've been looking for a large home with acreage and irrigated pasture, come take a look.",,,,"$615,000","$201.77","GRANDVIEW",,"23092433404","2023","3","3,048","1960","Agriculture","5","Conventional","No","Existing Construction (Not New)","Owner","$635,000","For Sale","5/15/2024","Yes",
"29","278368","Residential-Single Family","Site Built-Owned Lot","Yakima","$965,000","1221 Chase Rd","Grandview","WA","98930","Active","0","1","0",,"$965,000","Yes","1,008",,,,"212","212","210",,,"1,712","One",,,"No",,,,"2,555,230",,,,"58.6600","$354.78","10/21/2024","MLS# 278368 Beautiful Agriculture/Farm Land with original 1901 home.  This property is composed of three parcel #s.  The first is #230928-44001 is 40.43 acres and includes the house.  The house was a rental for many years, and is being sold as is.  It is a solid home, in need of a remodel!  There's a walkable basement with exterior entrance for additional storage!  Here's an opportunity to create the home you dream of!  The two additional land parcels are #230928-41004 (8.09 acres), and #230927-33002 (10.14 acres).  The number of total irrigated acres is 57.7!  This property is in Open Space, minus 1 acre around the house.  This is a fabulous opportunity to customize this property to suite your needs, plant the crops you desire, and/or run farm animals on!  There is a detached garage/carport with a door on one bay, and 3 open carport bays.  There are several other older outbuildings for storage!  Come and check out the scenic views of the Horse Heaven Hills, and surrounding spectacular farm land!","Home and Land",,,,,"GRANDVIEW",,"23092844001","2024","1","2,720","1901","Agriculture","4",,"No","Existing Construction (Not New)","Vacant","$1,080,000","For Sale","8/21/2024","Yes",
